subid,subage,condition,trial,agent,novel,familiar,pick,position_novel,pick_src,correct,rt,test_date,experimenter,keep_drop,sex,dob,age_num,check_age
190307_3_me,4,basic_me,11,Pig,t01,plug,t01,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t01.png,1,5739,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_3_me,4,basic_me,12,Beaver,t15,eggplant,t15,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t15.png,1,5602,2019-03-07,MM,keep,F,2014-08-02,4.597260273972603,TRUE
190307_4_me,4,basic_me,train1,Elephant,car,t13,car,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/car.png,1,8776,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,train2,Pig,ball,t10,ball,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/ball.png,1,5472,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,1,Mouse,t07,eggplant,t07,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t07.png,1,7581,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,2,Frog,t14,carrot,t14,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t14.png,1,6254,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,3,Bear,t03,kite,t03,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t03.png,1,6869,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,4,Dog,t19,apple,t19,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t19.png,1,5101,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,5,Elephant,t01,garlic,t01,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t01.png,1,5632,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,6,Monkey,t15,barrel,t15,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t15.png,1,8735,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,7,Pig,t12,horseshoe,t12,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t12.png,1,6856,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,8,Beaver,t16,bread,t16,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t16.png,1,5395,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,9,Sheep,t20,duck,t20,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t20.png,1,5130,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,10,Cat,t21,papaya,t21,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t21.png,1,5450,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,11,Bunny,t17,pawn,t17,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t17.png,1,8977,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_4_me,4,basic_me,12,Tiger,t04,plug,t04,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t04.png,1,5625,2019-03-07,MM,keep,M,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,train1,Elephant,car,t13,car,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/car.png,1,6103,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,train2,Pig,ball,t10,ball,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/ball.png,1,5492,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,1,Pig,t04,pawn,t04,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t04.png,1,7054,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,2,Monkey,t21,kite,t21,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t21.png,1,5355,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,3,Mouse,t11,horseshoe,t11,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t11.png,1,6389,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,4,Beaver,t09,apple,t09,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t09.png,1,5609,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,5,Sheep,t07,carrot,t07,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t07.png,1,5170,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,6,Bear,t08,bread,t08,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t08.png,1,5284,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,7,Frog,t01,garlic,t01,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t01.png,1,5529,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,8,Cat,t19,barrel,t19,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t19.png,1,5809,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,9,Elephant,t03,eggplant,t03,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t03.png,1,5422,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,10,Dog,t14,papaya,t14,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t14.png,1,5664,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,11,Bunny,t16,duck,t16,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t16.png,1,5403,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_5_me,4,basic_me,12,Tiger,t17,plug,t17,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t17.png,1,5075,2019-03-07,MM,keep,F,2014-04-14,4.898630136986301,TRUE
190307_6_me,4,basic_me,train1,Elephant,car,t13,car,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/car.png,1,9755,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,train2,Pig,ball,t10,ball,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/ball.png,1,5426,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,1,Mouse,t17,papaya,t17,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t17.png,1,6228,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,2,Bear,t01,garlic,t01,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t01.png,1,5450,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,3,Beaver,t03,pawn,t03,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t03.png,1,6824,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,4,Frog,t21,plug,plug,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/plug.png,0,6332,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,5,Dog,t09,barrel,t09,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t09.png,1,5462,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,6,Monkey,t11,duck,t11,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t11.png,1,6080,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,7,Sheep,t12,eggplant,t12,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t12.png,1,5055,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,8,Pig,t02,carrot,t02,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t02.png,1,5306,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,9,Bunny,t19,horseshoe,horseshoe,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/horseshoe.png,0,5081,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,10,Elephant,t08,apple,t08,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t08.png,1,5542,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,11,Cat,t14,bread,t14,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t14.png,1,7235,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_6_me,4,basic_me,12,Tiger,t07,kite,t07,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t07.png,1,6001,2019-03-07,MM,keep,M,2014-08-09,4.578082191780822,TRUE
190307_7_me,3,basic_me,train1,Elephant,car,t13,car,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/car.png,1,10351,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,train2,Pig,ball,t10,ball,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/ball.png,1,5476,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,1,Dog,t03,kite,t03,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t03.png,1,7202,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,2,Bear,t12,horseshoe,horseshoe,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/horseshoe.png,0,8342,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,3,Pig,t04,apple,t04,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t04.png,1,13089,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,4,Monkey,t19,duck,t19,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t19.png,1,11605,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,5,Bunny,t02,pawn,pawn,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/pawn.png,0,16029,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,6,Frog,t17,carrot,t17,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t17.png,1,10111,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,7,Mouse,t08,plug,plug,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/plug.png,0,15810,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,8,Beaver,t07,bread,t07,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t07.png,1,8585,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,9,Tiger,t11,eggplant,t11,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t11.png,1,16261,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,10,Cat,t15,garlic,t15,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t15.png,1,11744,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,11,Elephant,t01,papaya,t01,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t01.png,1,14620,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_7_me,3,basic_me,12,Sheep,t21,barrel,barrel,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/barrel.png,0,14467,2019-03-07,MM,keep,F,2015-10-10,3.408219178082192,TRUE
190307_8_me,3,basic_me,train1,Elephant,car,t13,car,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/car.png,1,10654,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,train2,Pig,ball,t10,ball,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/ball.png,1,5325,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,1,Monkey,t14,kite,t14,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t14.png,1,6939,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,2,Beaver,t17,garlic,t17,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t17.png,1,7269,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,3,Bear,t04,horseshoe,horseshoe,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/horseshoe.png,0,6287,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,4,Dog,t12,papaya,papaya,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/papaya.png,0,5721,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,5,Sheep,t03,eggplant,t03,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t03.png,1,9424,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,6,Pig,t02,pawn,t02,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t02.png,1,6273,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,7,Bunny,t20,barrel,t20,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t20.png,1,6000,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,8,Elephant,t16,bread,bread,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/bread.png,0,5345,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,9,Cat,t21,carrot,carrot,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/carrot.png,0,5653,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,10,Frog,t09,duck,duck,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/duck.png,0,5771,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,11,Mouse,t08,apple,t08,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t08.png,1,11487,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_8_me,3,basic_me,12,Tiger,t11,plug,t11,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t11.png,1,6239,2019-03-07,MM,keep,F,2015-12-24,3.202739726027397,TRUE
190307_9_me,4,basic_me,train1,Elephant,car,t13,car,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/car.png,1,9748,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,train2,Pig,ball,t10,ball,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/ball.png,1,6059,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,1,Cat,t07,barrel,t07,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t07.png,1,7076,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,2,Sheep,t17,plug,t17,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t17.png,1,6591,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,3,Bear,t03,apple,t03,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t03.png,1,5903,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,4,Mouse,t02,eggplant,t02,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t02.png,1,6405,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,5,Elephant,t21,kite,t21,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t21.png,1,6264,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,6,Beaver,t09,garlic,t09,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t09.png,1,6367,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,7,Bunny,t08,horseshoe,t08,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t08.png,1,6508,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,8,Tiger,t14,pawn,t14,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t14.png,1,8183,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,9,Monkey,t16,papaya,t16,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t16.png,1,6341,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,10,Pig,t20,bread,t20,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t20.png,1,5278,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,11,Dog,t11,carrot,t11,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t11.png,1,5054,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_9_me,4,basic_me,12,Frog,t04,duck,t04,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t04.png,1,5559,2019-03-07,MM,keep,M,2015-02-25,4.03013698630137,TRUE
190307_10_me,3,basic_me,train1,Elephant,car,t13,car,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/car.png,1,6839,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,train2,Pig,ball,t10,ball,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/ball.png,1,5407,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,1,Bunny,t07,plug,t07,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t07.png,1,12953,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,2,Frog,t02,garlic,t02,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t02.png,1,10181,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,3,Sheep,t11,bread,bread,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/bread.png,0,8814,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,4,Beaver,t17,carrot,t17,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t17.png,1,5583,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,5,Tiger,t12,apple,t12,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t12.png,1,6994,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,6,Bear,t01,pawn,pawn,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/pawn.png,0,5437,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,7,Elephant,t03,eggplant,eggplant,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/eggplant.png,0,8376,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,8,Monkey,t09,papaya,papaya,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/papaya.png,0,7412,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,9,Cat,t14,horseshoe,horseshoe,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/horseshoe.png,0,5406,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,10,Mouse,t08,duck,t08,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t08.png,1,5207,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,11,Pig,t21,barrel,t21,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t21.png,1,5872,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_10_me,3,basic_me,12,Dog,t19,kite,t19,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t19.png,1,6038,2019-03-07,MM,keep,M,2015-03-19,3.96986301369863,TRUE
190307_11_me,3,basic_me,train1,Elephant,car,t13,car,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/car.png,1,8918,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,train2,Pig,ball,t10,ball,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/ball.png,1,8536,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,1,Frog,t14,papaya,t14,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t14.png,1,21126,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,2,Mouse,t04,horseshoe,t04,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t04.png,1,11426,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,3,Monkey,t16,carrot,t16,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t16.png,1,9245,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,4,Bunny,t02,kite,t02,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t02.png,1,14798,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,5,Bear,t12,eggplant,t12,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t12.png,1,8742,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,6,Cat,t09,barrel,barrel,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/barrel.png,0,10017,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,7,Dog,t17,apple,t17,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t17.png,1,9301,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,8,Elephant,t03,bread,t03,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t03.png,1,7539,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,9,Pig,t08,garlic,t08,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t08.png,1,9675,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,10,Sheep,t01,plug,t01,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t01.png,1,9242,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,11,Beaver,t21,pawn,pawn,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/pawn.png,0,7373,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190307_11_me,3,basic_me,12,Tiger,t07,duck,t07,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t07.png,1,8631,2019-03-07,MM,keep,F,2016-01-14,3.1452054794520548,TRUE
190308_2_me,2,basic_me,train1,Elephant,car,t13,car,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/car.png,1,11235,2019-03-08,MM,keep,M,2016-04-27,2.863013698630137,TRUE
190308_2_me,2,basic_me,train2,Pig,ball,t10,ball,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/ball.png,1,10362,2019-03-08,MM,keep,M,2016-04-27,2.863013698630137,TRUE
190308_2_me,2,basic_me,1,Dog,t17,plug,t17,right,http://langcog.stanford.edu/expts/spin/experiments/kids/images/t17.png,1,11324,2019-03-08,MM,keep,M,2016-04-27,2.863013698630137,TRUE
190308_2_me,2,basic_me,2,Bunny,t14,pawn,pawn,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/pawn.png,0,11810,2019-03-08,MM,keep,M,2016-04-27,2.863013698630137,TRUE
190308_2_me,2,basic_me,3,Cat,t12,garlic,garlic,left,http://langcog.stanford.edu/expts/spin/experiments/kids/images/garlic.png,0,13024,2019-03-08,MM,keep,M,2016-04-27,2.863013698630137,TRUE
